Id.,Happiness
1,5.122
2,5.768
3,4.552
4,5.399
5,5.155
6,6.125
7,5.235
8,6.123
9,4.925
10,6.341
11,4.479
12,3.76
13,4.888
14,5.048
15,6.178
16,4.603
17,5.485
18,2.404
19,4.241
20,4.891
21,4.459
22,4.744
23,6.977
24,6.309
25,6.582
26,7.025
27,6.12
28,5.559
29,5.371
30,6.476
31,4.112
32,7.2
33,4.67
34,6.221
35,5.084
36,4.516
37,5.199
38,4.623
39,6.106
40,5.24
41,4.339
42,4.288
43,6.039
44,4.872
45,6.172
46,4.483
47,6.128
48,5.547
49,6.687
50,2.955
51,7.163
52,5.377
53,5.828
54,6.455
55,5.781
56,5.737
57,5.935
58,7.364
59,4.64
60,3.574
61,6.523
62,5.904
63,7.636
64,5.046
65,5.711
66,7.384
67,5.003
68,6.647
69,5.467
70,4.197
71,5.122
72,4.516
73,7.404
74,5.948
75,5.474
76,7.512
77,5.585
78,5.459
79,7.415
80,7.041
81,6.086
82,5.06
83,5.578
84,3.777
85,5.14
86,4.152
87,4.941
88,6.943
89,4.362
90,5.821
91,6.805
92,6.234
93,6.512
94,4.251
95,7.162
96,5.048
97,5.967
98,2.995
99,5.199
100,6.467
101,6.022
102,4.543
103,5.425
104,7.821
105,5.075
106,6.474
107,7.557
108,5.857
109,5.377
110,6.293
111,5.891
112,4.609
113,6.92
114,6.063
115,3.471
116,3.75
